id,unit,lesson,type,requiresChart,chartType,types,detection,promptSnippet
U1-L10-Q04,1,10,free-response,true,histogram,,flag:chartType:histogram;keyword:histogram,"Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods…"
U1-L10-Q06,1,10,free-response,true,normal,,keyword:normal curve,"Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods…"
U1-PC-FRQ-Q01,1,PC,free-response,true,histogram,,flag:requiresGraph:histogram;flag:chartType:histogram;keyword:histogram;keyword:normal curve,"Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods…"
U1-PC-FRQ-Q02,1,PC,free-response,true,normal,,keyword:normal curve,"Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods…"
U2-L9-Q01,2,9,free-response,true,scatter,,flag:chartType:scatter;keyword:scatterplot,"Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods…"
U2-PC-FRQ-Q01,2,PC,free-response,true,scatter,,flag:chartType:scatter;keyword:scatterplot,"Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods…"
U2-PC-FRQ-Q02,2,PC,free-response,true,multi,normal;scatter,flag:chartType:normal;flag:chartType:scatter;keyword:scatterplot;keyword:normal curve,"Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods…"
U3-L3-Q01,3,3,free-response,false,words-only,,,"Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods…"
U3-L5-Q02,3,5,free-response,true,bar,,flag:chartType:bar;keyword:bar chart,"To prevent deer from running across highways, researchers are investigating sound-emitting devices that would frighten …"
U3-PC-FRQ-Q01,3,PC,free-response,false,words-only,,,"Researchers are investigating whether people who exercise with a training partner have a greater increase, on average, …"
U3-PC-FRQ-Q02,3,PC,free-response,true,bar,,flag:chartType:bar;keyword:bar chart,A survey was given to a random sample of 400 people living in a certain community. The people were asked whether they s…
U4-L9-Q04,4,9,free-response,false,words-only,,,"Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods…"
U4-PC-FRQ-Q01,4,PC,free-response,false,words-only,,,"Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods…"
U4-PC-FRQ-Q02,4,PC,free-response,false,words-only,,,"Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods…"
U5-L2-Q01,5,2,free-response,true,histogram,,flag:chartType:histogram;keyword:histogram;keyword:normal curve,"Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods…"
U5-L6-FRQ-Q01,5,6,free-response,true,normal,,keyword:normal curve,"Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods…"
U5-PC-FRQ-Q01,5,PC,free-response,true,normal,,keyword:normal curve,"Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods…"
U5-PC-FRQ-Q02,5,PC,free-response,true,multi,histogram;dotplot,flag:chartType:histogram;flag:chartType:dotplot;keyword:histogram;keyword:dotplot;keyword:normal curve,"Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods…"
U6-L3-Q01,6,3,free-response,true,normal,,keyword:normal curve,"Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods…"
U6-L7-Q08,6,7,free-response,true,normal,,keyword:normal curve,"Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods…"
U6-L11-Q07,6,11,free-response,false,words-only,,,A random sample of 100 people from region A and a random sample of 100 people from region B were surveyed about their g…
U6-PC-FRQ-Q01,6,PC,free-response,true,normal,,keyword:normal curve,"Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods…"
U6-PC-FRQ-Q02,6,PC,free-response,true,normal,,keyword:normal curve,"Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods…"
U7-L5-Q04,7,5,free-response,false,words-only,,,A recent study reported that high school students spend an average of 94 minutes per day texting. Jenna claims that the…
U7-L8-Q01,7,8,free-response,true,multi,boxplot;dotplot,flag:chartType:boxplot;flag:chartType:dotplot;keyword:dotplot;keyword:boxplot;keyword:normal curve,"Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods…"
U7-PC-FRQ-Q01,7,PC,free-response,false,words-only,,,"Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods…"
